"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","01-Jan-2013","        678.60","        682.10","        685.10","        679.65","        683.60","        684.50","        682.68","    1007303","           687665566.45","      16186","     615241","         61.08"
"HDFCBANK","EQ","02-Jan-2013","        684.50","        689.90","        690.00","        683.05","        688.15","        687.35","        686.96","    2427399","          1667531746.55","      76666","    1748792","         72.04"
"HDFCBANK","EQ","03-Jan-2013","        687.35","        690.00","        690.00","        680.40","        682.45","        683.35","        684.70","    2285683","          1565013644.45","      57225","    1728883","         75.64"
"HDFCBANK","EQ","04-Jan-2013","        683.35","        685.00","        685.00","        672.80","        679.85","        679.35","        676.86","    2721127","          1841808815.00","      54481","    2072522","         76.16"
"HDFCBANK","EQ","07-Jan-2013","        679.35","        683.70","        683.70","        666.00","        668.00","        668.20","        671.03","    2751142","          1846108679.20","      59257","    2270753","         82.54"
"HDFCBANK","EQ","08-Jan-2013","        668.20","        668.00","        673.40","        665.70","        670.20","        670.25","        669.34","    2471299","          1654144609.50","      44622","    1695581","         68.61"
"HDFCBANK","EQ","09-Jan-2013","        670.25","        672.00","        672.55","        666.05","        667.55","        667.50","        669.96","    3217991","          2155917687.15","      59829","    2603470","         80.90"
"HDFCBANK","EQ","10-Jan-2013","        667.50","        669.50","        678.00","        666.50","        674.00","        675.80","        673.90","    2282592","          1538234603.10","      61787","    1742042","         76.32"
"HDFCBANK","EQ","11-Jan-2013","        675.80","        676.90","        676.90","        666.70","        668.00","        669.30","        670.13","    2570857","          1722805388.00","      61072","    2025820","         78.80"
"HDFCBANK","EQ","14-Jan-2013","        669.30","        668.15","        670.50","        667.10","        669.35","        669.30","        669.13","    2847437","          1905301438.10","     100759","    2372546","         83.32"
"HDFCBANK","EQ","15-Jan-2013","        669.30","        670.80","        675.45","        665.00","        667.45","        668.30","        668.39","    2065844","          1380797118.20","      68828","    1406831","         68.10"
"HDFCBANK","EQ","16-Jan-2013","        668.30","        665.55","        669.20","        657.60","        660.85","        660.50","        664.71","    2287689","          1520660113.70","      61474","    1422798","         62.19"
"HDFCBANK","EQ","17-Jan-2013","        660.50","        657.70","        670.85","        654.05","        665.90","        666.80","        663.67","    3211036","          2131074257.00","      53161","    2455517","         76.47"
"HDFCBANK","EQ","18-Jan-2013","        666.80","        670.00","        674.00","        655.30","        659.00","        662.85","        665.06","    5056173","          3362648624.85","     106372","    2984397","         59.02"
"HDFCBANK","EQ","21-Jan-2013","        662.85","        660.00","        663.40","        654.75","        656.45","        658.55","        659.45","    2713680","          1789532516.95","      59237","    1944116","         71.64"
"HDFCBANK","EQ","22-Jan-2013","        658.55","        658.50","        661.00","        647.55","        654.55","        653.75","        656.89","    2121532","          1393608344.55","      37488","    1485827","         70.04"
"HDFCBANK","EQ","23-Jan-2013","        653.75","        657.00","        663.00","        654.35","        659.05","        656.60","        658.78","    1769935","          1166003547.30","      41831","    1117791","         63.15"
"HDFCBANK","EQ","24-Jan-2013","        656.60","        655.60","        662.75","        655.25","        662.00","        660.30","        659.66","    1536990","          1013896063.80","      28717","    1028019","         66.89"
"HDFCBANK","EQ","25-Jan-2013","        660.30","        660.30","        667.00","        655.55","        665.15","        665.05","        661.94","    1397433","           925014235.45","      25721","     902589","         64.59"
"HDFCBANK","EQ","28-Jan-2013","        665.05","        665.25","        672.00","        664.45","        669.10","        670.35","        668.94","    1842005","          1232195951.90","      42310","    1385165","         75.20"
"HDFCBANK","EQ","29-Jan-2013","        670.35","        670.75","        670.90","        650.00","        652.60","        652.45","        659.04","    2990437","          1970803370.05","      72817","    1862964","         62.30"
"HDFCBANK","EQ","30-Jan-2013","        652.45","        653.00","        658.40","        644.00","        657.75","        656.65","        652.85","    2509908","          1638599919.80","      86143","    1652892","         65.85"
"HDFCBANK","EQ","31-Jan-2013","        656.65","        656.60","        657.90","        640.10","        643.00","        643.05","        646.62","    3472096","          2245126693.60","      77354","    2477367","         71.35"
"HDFCBANK","EQ","01-Feb-2013","        643.05","        644.80","        644.85","        636.20","        639.00","        640.15","        639.26","    2621036","          1675525216.15","      66443","    2060768","         78.62"
"HDFCBANK","EQ","04-Feb-2013","        640.15","        641.15","        649.50","        640.00","        645.05","        646.90","        646.37","    2618950","          1692806186.55","      46333","    1926203","         73.55"
"HDFCBANK","EQ","05-Feb-2013","        646.90","        636.35","        647.20","        636.35","        643.50","        644.15","        643.00","    1865005","          1199204699.85","      48040","    1353905","         72.60"
"HDFCBANK","EQ","06-Feb-2013","        644.15","        646.60","        646.90","        637.20","        639.50","        639.50","        639.96","    2468397","          1579685827.45","     119992","    2033936","         82.40"
