"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","03-Jan-2011","       2346.35","       2370.00","       2399.65","       2350.40","       2388.35","       2390.50","       2385.59","     539839","          1287836759.60","-","     320859","         59.44"
"HDFCBANK","EQ","04-Jan-2011","       2390.50","       2386.50","       2388.00","       2333.00","       2333.00","       2345.55","       2355.04","     828413","          1950944087.30","-","     469218","         56.64"
"HDFCBANK","EQ","05-Jan-2011","       2345.55","       2349.70","       2349.70","       2297.50","       2316.90","       2308.20","       2313.85","     782592","          1810802258.45","-","     487271","         62.26"
"HDFCBANK","EQ","06-Jan-2011","       2308.20","       2316.00","       2342.65","       2309.00","       2323.85","       2327.75","       2323.94","     543509","          1263083919.40","-","     296093","         54.48"
"HDFCBANK","EQ","07-Jan-2011","       2327.75","       2326.20","       2326.20","       2261.00","       2272.60","       2269.45","       2279.24","     794801","          1811540104.50","-","     483459","         60.83"
"HDFCBANK","EQ","10-Jan-2011","       2269.45","       2256.05","       2270.00","       2138.00","       2154.95","       2152.25","       2179.89","    2007086","          4375224212.60","-","    1321704","         65.85"
"HDFCBANK","EQ","11-Jan-2011","       2152.25","       2170.00","       2218.70","       2125.00","       2163.00","       2146.60","       2161.08","    1215759","          2627349856.35","-","     600535","         49.40"
"HDFCBANK","EQ","12-Jan-2011","       2146.60","       2169.00","       2214.00","       2106.60","       2208.05","       2205.30","       2160.27","     990533","          2139814373.35","-","     399900","         40.37"
"HDFCBANK","EQ","13-Jan-2011","       2205.30","       2209.00","       2217.40","       2126.40","       2143.00","       2143.00","       2157.04","     948601","          2046166962.15","-","     487941","         51.44"
"HDFCBANK","EQ","14-Jan-2011","       2143.00","       2150.00","       2208.00","       2030.00","       2052.00","       2049.55","       2114.87","    1279141","          2705221894.20","-","     562842","         44.00"
"HDFCBANK","EQ","17-Jan-2011","       2049.55","       2060.00","       2093.00","       2050.55","       2071.20","       2068.10","       2069.93","    1228082","          2542039508.50","-","     749900","         61.06"
"HDFCBANK","EQ","18-Jan-2011","       2068.10","       2086.80","       2116.00","       2046.65","       2115.00","       2109.35","       2088.08","     842016","          1758193662.35","-","     386005","         45.84"
"HDFCBANK","EQ","19-Jan-2011","       2109.35","       2111.65","       2114.05","       2063.00","       2078.30","       2075.45","       2081.69","     899205","          1871869679.15","-","     514804","         57.25"
"HDFCBANK","EQ","20-Jan-2011","       2075.45","       2069.25","       2134.40","       2045.90","       2117.00","       2117.55","       2085.05","     963854","          2009679539.95","-","     533183","         55.32"
"HDFCBANK","EQ","21-Jan-2011","       2117.55","       2104.00","       2124.70","       2076.10","       2093.00","       2094.15","       2096.48","     829761","          1739577669.00","-","     409928","         49.40"
"HDFCBANK","EQ","24-Jan-2011","       2094.15","       2095.00","       2154.00","       2073.00","       2146.10","       2148.60","       2113.25","    1277416","          2699494023.15","-","     727890","         56.98"
"HDFCBANK","EQ","25-Jan-2011","       2148.60","       2151.20","       2174.85","       2070.10","       2085.05","       2084.30","       2117.86","    1411054","          2988416659.20","-","     677827","         48.04"
"HDFCBANK","EQ","27-Jan-2011","       2084.30","       2100.00","       2100.00","       2041.00","       2043.80","       2050.90","       2075.94","    1894558","          3932991349.90","-","    1028591","         54.29"
"HDFCBANK","EQ","28-Jan-2011","       2050.90","       2055.00","       2089.35","       2042.05","       2052.60","       2054.25","       2064.34","    1779842","          3674190171.10","-","     904350","         50.81"
"HDFCBANK","EQ","31-Jan-2011","       2054.25","       2042.70","       2063.45","       1996.20","       2040.20","       2047.30","       2023.92","    1111803","          2250200203.00","-","     595675","         53.58"
"HDFCBANK","EQ","01-Feb-2011","       2047.30","       2076.90","       2076.90","       2015.10","       2042.00","       2039.60","       2039.18","     855123","          1743752812.90","-","     399880","         46.76"
"HDFCBANK","EQ","02-Feb-2011","       2039.60","       2051.50","       2063.50","       2006.20","       2010.00","       2019.90","       2032.80","     976217","          1984451017.55","-","     497314","         50.94"
"HDFCBANK","EQ","03-Feb-2011","       2019.90","       2020.00","       2071.75","       2010.00","       2056.90","       2060.95","       2049.43","     579603","          1187855348.90","-","     283789","         48.96"
"HDFCBANK","EQ","04-Feb-2011","       2060.95","       2051.00","       2085.00","       2005.00","       2008.00","       2017.75","       2045.03","     925320","          1892305142.25","-","     486822","         52.61"
"HDFCBANK","EQ","07-Feb-2011","       2017.75","       2045.00","       2060.00","       2020.20","       2036.25","       2038.85","       2050.26","     855946","          1754910759.15","-","     493090","         57.61"
"HDFCBANK","EQ","08-Feb-2011","       2038.85","       2059.90","       2059.95","       1985.10","       2004.90","       2002.85","       2012.17","     719599","          1447958128.00","-","     371414","         51.61"
"HDFCBANK","EQ","09-Feb-2011","       2002.85","       1998.00","       2035.00","       1981.40","       2033.50","       2022.30","       2013.34","     735758","          1481330850.55","-","     312246","         42.44"
"HDFCBANK","EQ","10-Feb-2011","       2022.30","       2016.00","       2049.00","       2000.00","       2015.15","       2015.85","       2026.10","    1153559","          2337230216.30","-","     725094","         62.86"
"HDFCBANK","EQ","11-Feb-2011","       2015.85","       1995.00","       2060.00","       1995.00","       2059.70","       2059.30","       2042.15","    1010342","          2063266418.95","-","     652939","         64.63"
"HDFCBANK","EQ","14-Feb-2011","       2059.30","       2050.15","       2110.20","       2050.15","       2107.50","       2105.45","       2089.94","     592236","          1237736003.50","-","     283263","         47.83"
"HDFCBANK","EQ","15-Feb-2011","       2105.45","       2110.00","       2128.00","       2075.30","       2104.90","       2107.00","       2106.58","     759973","          1600941500.85","-","     303370","         39.92"
"HDFCBANK","EQ","16-Feb-2011","       2107.00","       2114.00","       2122.00","       2085.05","       2100.00","       2094.85","       2096.50","     455079","           954073593.65","-","     215290","         47.31"
"HDFCBANK","EQ","17-Feb-2011","       2094.85","       2100.00","       2194.00","       2095.00","       2192.00","       2185.60","       2163.05","    1180492","          2553467246.40","-","     671217","         56.86"
"HDFCBANK","EQ","18-Feb-2011","       2185.60","       2184.00","       2243.10","       2165.25","       2172.00","       2176.10","       2211.59","    1976787","          4371841828.10","-","    1102498","         55.77"
"HDFCBANK","EQ","21-Feb-2011","       2176.10","       2165.00","       2208.00","       2132.50","       2195.65","       2201.70","       2165.70","     560051","          1212900440.15","-","     236138","         42.16"
"HDFCBANK","EQ","22-Feb-2011","       2201.70","       2190.00","       2191.70","       2125.40","       2135.80","       2138.45","       2151.30","     579643","          1246986210.75","-","     228661","         39.45"
"HDFCBANK","EQ","23-Feb-2011","       2138.45","       2125.20","       2153.00","       2100.20","       2111.55","       2114.10","       2131.66","     611422","          1303342144.95","-","     279091","         45.65"
"HDFCBANK","EQ","24-Feb-2011","       2114.10","       2087.00","       2118.55","       2045.75","       2061.00","       2059.10","       2076.80","    1002777","          2082570282.25","-","     462385","         46.11"
"HDFCBANK","EQ","25-Feb-2011","       2059.10","       2087.00","       2087.00","       2018.00","       2059.50","       2042.15","       2053.73","     630996","          1295893515.80","-","     243104","         38.53"
"HDFCBANK","EQ","28-Feb-2011","       2042.15","       2064.00","       2120.95","       2035.00","       2049.15","       2052.25","       2065.14","    1098136","          2267809822.85","-","     505921","         46.07"
"HDFCBANK","EQ","01-Mar-2011","       2052.25","       2074.80","       2150.00","       2059.00","       2150.00","       2139.00","       2124.43","    1025058","          2177663346.20","-","     562979","         54.92"
"HDFCBANK","EQ","03-Mar-2011","       2139.00","       2134.90","       2222.30","       2130.05","       2195.00","       2193.15","       2184.55","    1266882","          2767569100.15","-","     609709","         48.13"
"HDFCBANK","EQ","04-Mar-2011","       2193.15","       2210.00","       2232.90","       2206.50","       2220.05","       2218.25","       2221.01","     985494","          2188789506.90","-","     648543","         65.81"
"HDFCBANK","EQ","07-Mar-2011","       2218.25","       2204.00","       2204.00","       2150.90","       2167.75","       2173.15","       2170.65","     642784","          1395258413.90","-","     345972","         53.82"
