Symbol,Date,Prev Close,Close Price,Ratio_a
HDFC,2015-01-01,1135.9,1124,0.989523726
HDFC,2015-01-02,1124,1171.9,1.042615658
HDFC,2015-01-05,1171.9,1156.4,0.986773615
HDFC,2015-01-06,1156.4,1101.95,0.952914217
HDFC,2015-01-07,1101.95,1099.25,0.997549798
HDFC,2015-01-08,1099.25,1123.35,1.021924039
HDFC,2015-01-09,1123.35,1113.3,0.991053545
HDFC,2015-01-12,1113.3,1128.55,1.013698015
HDFC,2015-01-13,1128.55,1122.2,0.994373311
HDFC,2015-01-14,1122.2,1120.3,0.998306897
HDFC,2015-01-15,1120.3,1202.55,1.073417835
HDFC,2015-01-16,1202.55,1194.55,0.99334747
HDFC,2015-01-19,1194.55,1181.7,0.989242811
HDFC,2015-01-20,1181.7,1251.55,1.059109757
HDFC,2015-01-21,1251.55,1287.2,1.028484679
HDFC,2015-01-22,1287.2,1279.65,0.994134556
HDFC,2015-01-23,1279.65,1290.1,1.008166295
HDFC,2015-01-27,1290.1,1315.85,1.019959693
HDFC,2015-01-28,1315.85,1344.6,1.021848995
HDFC,2015-01-29,1344.6,1315.55,0.978395062
HDFC,2015-01-30,1315.55,1262.5,0.959674661
HDFC,2015-02-02,1262.5,1269.3,1.005386139
HDFC,2015-02-03,1269.3,1230.15,0.969156228
HDFC,2015-02-04,1230.15,1232.45,1.001869691
HDFC,2015-02-05,1232.45,1246.45,1.011359487
HDFC,2015-02-06,1246.45,1280.55,1.027357696
HDFC,2015-02-09,1280.55,1271.95,0.993284136
HDFC,2015-02-10,1271.95,1246.15,0.979716184
HDFC,2015-02-11,1246.15,1245.8,0.999719135
HDFC,2015-02-12,1245.8,1253.25,1.005980093
HDFC,2015-02-13,1253.25,1268.65,1.012288051
HDFC,2015-02-16,1268.65,1288,1.015252434
HDFC,2015-02-18,1288,1328.6,1.031521739
HDFC,2015-02-19,1328.6,1353.45,1.018703899
HDFC,2015-02-20,1353.45,1333.15,0.985001293
HDFC,2015-02-23,1333.15,1311.25,0.983572741
HDFC,2015-02-24,1311.25,1310.4,0.999351764
HDFC,2015-02-25,1310.4,1340.55,1.023008242
HDFC,2015-02-26,1340.55,1345.7,1.003841707
HDFC,2015-02-27,1345.7,1347.4,1.001263283
HDFC,2015-02-28,1347.4,1335.15,0.990908416
HDFC,2015-03-02,1335.15,1339.95,1.003595102
HDFC,2015-03-03,1339.95,1368.05,1.020970932
HDFC,2015-03-04,1368.05,1367.7,0.999744161
HDFC,2015-03-05,1367.7,1394.8,1.019814287
HDFC,2015-03-09,1394.8,1368.35,0.981036708
HDFC,2015-03-10,1368.35,1312.4,0.959111338
HDFC,2015-03-11,1312.4,1322.75,1.007886315
HDFC,2015-03-12,1322.75,1332.85,1.007635608
HDFC,2015-03-13,1332.85,1328.05,0.996398695
HDFC,2015-03-16,1328.05,1305.7,0.983170814
HDFC,2015-03-17,1305.7,1339.45,1.025848204
HDFC,2015-03-18,1339.45,1322.05,0.987009593
HDFC,2015-03-19,1322.05,1327.7,1.004273666
HDFC,2015-03-20,1327.7,1338.45,1.008096709
HDFC,2015-03-23,1338.45,1345.7,1.005416713
HDFC,2015-03-24,1345.7,1358.85,1.009771866
HDFC,2015-03-25,1358.85,1354.55,0.996835559
HDFC,2015-03-26,1354.55,1283.7,0.947694806
HDFC,2015-03-27,1283.7,1262.7,0.983641038
HDFC,2015-03-30,1262.7,1306.2,1.034449988
HDFC,2015-03-31,1306.2,1315.7,1.007273006
HDFC,2015-04-01,1315.7,1337.05,1.016227103
HDFC,2015-04-06,1337.05,1330.6,0.995175947
HDFC,2015-04-07,1330.6,1328.7,0.998572073
HDFC,2015-04-08,1328.7,1299.7,0.978174155
HDFC,2015-04-09,1299.7,1303.05,1.002577518
HDFC,2015-04-10,1303.05,1290.35,0.990253636
HDFC,2015-04-13,1290.35,1305.25,1.011547255
HDFC,2015-04-15,1305.25,1290.45,0.988661176
HDFC,2015-04-16,1290.45,1306.8,1.012669999
HDFC,2015-04-17,1306.8,1306.7,0.999923477
HDFC,2015-04-20,1306.7,1268.65,0.970880845
HDFC,2015-04-21,1268.65,1258.15,0.991723486
HDFC,2015-04-22,1258.15,1277.2,1.015141279
HDFC,2015-04-23,1277.2,1276.05,0.999099593
HDFC,2015-04-24,1276.05,1245.15,0.975784648
HDFC,2015-04-27,1245.15,1211.75,0.973175923
HDFC,2015-04-28,1211.75,1228.25,1.01361667
HDFC,2015-04-29,1228.25,1201.15,0.977936088
HDFC,2015-04-30,1201.15,1170,0.97406652
HDFC,2015-05-04,1170,1202.2,1.027521368
HDFC,2015-05-05,1202.2,1180.35,0.981824988
HDFC,2015-05-06,1180.35,1163.6,0.985809294
HDFC,2015-05-07,1163.6,1154.25,0.991964593
HDFC,2015-05-08,1154.25,1185.35,1.026943903
HDFC,2015-05-11,1185.35,1226.1,1.034378032
HDFC,2015-05-12,1226.1,1191.35,0.971658103
HDFC,2015-05-13,1191.35,1219.4,1.023544718
HDFC,2015-05-14,1219.4,1209.7,0.992045268
HDFC,2015-05-15,1209.7,1234.3,1.02033562
HDFC,2015-05-18,1234.3,1264.3,1.024305274
HDFC,2015-05-19,1264.3,1240.55,0.981214902
HDFC,2015-05-20,1240.55,1270.05,1.023779775
HDFC,2015-05-21,1270.05,1255.95,0.988898075
HDFC,2015-05-22,1255.95,1288.05,1.025558342
HDFC,2015-05-25,1288.05,1252.65,0.972516595
HDFC,2015-05-26,1252.65,1240.45,0.990260647
HDFC,2015-05-27,1240.45,1239.9,0.999556613
HDFC,2015-05-28,1239.9,1229.25,0.991410598
HDFC,2015-05-29,1229.25,1236.05,1.005531828
HDFC,2015-06-01,1236.05,1247.75,1.009465637
HDFC,2015-06-02,1247.75,1203.1,0.964215588
HDFC,2015-06-03,1203.1,1202.85,0.999792203
HDFC,2015-06-04,1202.85,1216,1.010932369
HDFC,2015-06-05,1216,1201.35,0.987952303
HDFC,2015-06-08,1201.35,1176.75,0.979523037
HDFC,2015-06-09,1176.75,1188.8,1.010240068
HDFC,2015-06-10,1188.8,1190.55,1.001472073
HDFC,2015-06-11,1190.55,1164.3,0.977951367
HDFC,2015-06-12,1164.3,1190.4,1.022416903
HDFC,2015-06-15,1190.4,1214.55,1.020287298
HDFC,2015-06-16,1214.55,1199.05,0.987238072
HDFC,2015-06-17,1199.05,1200.9,1.001542888
HDFC,2015-06-18,1200.9,1213.3,1.010325589
HDFC,2015-06-19,1213.3,1236.85,1.019409874
HDFC,2015-06-22,1236.85,1271.55,1.02805514
HDFC,2015-06-23,1271.55,1285.2,1.01073493
HDFC,2015-06-24,1285.2,1283.9,0.998988484
HDFC,2015-06-25,1283.9,1308.85,1.019432978
HDFC,2015-06-26,1308.85,1287.85,0.983955381
HDFC,2015-06-29,1287.85,1285.5,0.998175253
HDFC,2015-06-30,1285.5,1296.45,1.008518086
HDFC,2015-07-01,1296.45,1292.7,0.997107486
HDFC,2015-07-02,1292.7,1285.2,0.99419819
HDFC,2015-07-03,1285.2,1316.05,1.024004046
HDFC,2015-07-06,1316.05,1317.6,1.001177767
HDFC,2015-07-07,1317.6,1337.3,1.014951427
HDFC,2015-07-08,1337.3,1290.05,0.964667614
HDFC,2015-07-09,1290.05,1285.3,0.996317972
HDFC,2015-07-10,1285.3,1283.35,0.998482844
HDFC,2015-07-13,1283.35,1323.75,1.031480111
HDFC,2015-07-14,1323.75,1318.4,0.995958451
HDFC,2015-07-15,1318.4,1340.15,1.016497269
HDFC,2015-07-16,1340.15,1359.7,1.014587919
HDFC,2015-07-17,1359.7,1326.65,0.975693168
HDFC,2015-07-20,1326.65,1315.35,0.991482305
HDFC,2015-07-21,1315.35,1311.6,0.997149048
HDFC,2015-07-22,1311.6,1345.75,1.026036901
HDFC,2015-07-23,1345.75,1350.55,1.003566784
HDFC,2015-07-24,1350.55,1358.75,1.0060716
HDFC,2015-07-27,1358.75,1336,0.98325667
HDFC,2015-07-28,1336,1304.4,0.976347305
HDFC,2015-07-29,1304.4,1312.05,1.005864765
HDFC,2015-07-30,1312.05,1335.8,1.018101444
HDFC,2015-07-31,1335.8,1340.4,1.003443629
HDFC,2015-08-03,1340.4,1324.35,0.988025962
HDFC,2015-08-04,1324.35,1302.45,0.983463586
HDFC,2015-08-05,1302.45,1302.45,1
HDFC,2015-08-06,1302.45,1303.85,1.001074897
HDFC,2015-08-07,1303.85,1298.45,0.995858419
HDFC,2015-08-10,1298.45,1305.5,1.005429551
HDFC,2015-08-11,1305.5,1290.65,0.988625048
HDFC,2015-08-12,1290.65,1261.95,0.977763143
HDFC,2015-08-13,1261.95,1256.95,0.996037878
HDFC,2015-08-14,1256.95,1299.95,1.034209794
HDFC,2015-08-17,1299.95,1279.6,0.984345552
HDFC,2015-08-18,1279.6,1266.1,0.989449828
HDFC,2015-08-19,1266.1,1256.3,0.992259695
HDFC,2015-08-20,1256.3,1249.9,0.994905675
HDFC,2015-08-21,1249.9,1228.35,0.982758621
HDFC,2015-08-24,1228.35,1167.75,0.950665527
HDFC,2015-08-25,1167.75,1145.55,0.980989082
HDFC,2015-08-26,1145.55,1102.35,0.962288857
HDFC,2015-08-27,1102.35,1193.9,1.083049848
HDFC,2015-08-28,1193.9,1201.9,1.006700729
HDFC,2015-08-31,1201.9,1186.15,0.986895748
HDFC,2015-09-01,1186.15,1157.4,0.975761919
HDFC,2015-09-02,1157.4,1123.15,0.970407811
HDFC,2015-09-03,1123.15,1172.05,1.043538263
HDFC,2015-09-04,1172.05,1141.6,0.97401988
HDFC,2015-09-07,1141.6,1155.05,1.01178171
HDFC,2015-09-08,1155.05,1171.05,1.013852214
HDFC,2015-09-09,1171.05,1186.65,1.013321378
HDFC,2015-09-10,1186.65,1162.75,0.979859268
HDFC,2015-09-11,1162.75,1176.35,1.011696409
HDFC,2015-09-14,1176.35,1184.7,1.007098228
HDFC,2015-09-15,1184.7,1179.85,0.995906137
HDFC,2015-09-16,1179.85,1196.35,1.013984829
HDFC,2015-09-18,1196.35,1207.05,1.008943871
HDFC,2015-09-21,1207.05,1207.3,1.000207117
HDFC,2015-09-22,1207.3,1168.6,0.967945001
HDFC,2015-09-23,1168.6,1165.95,0.997732329
HDFC,2015-09-24,1165.95,1181.85,1.013636948
HDFC,2015-09-28,1181.85,1172.15,0.991792529
HDFC,2015-09-29,1172.15,1216.8,1.038092394
HDFC,2015-09-30,1216.8,1212.75,0.996671598
HDFC,2015-10-01,1212.75,1196.6,0.986683158
HDFC,2015-10-05,1196.6,1256.95,1.050434565
HDFC,2015-10-06,1256.95,1265.2,1.006563507
HDFC,2015-10-07,1265.2,1277.45,1.009682264
HDFC,2015-10-08,1277.45,1278.1,1.000508826
HDFC,2015-10-09,1278.1,1291.7,1.010640795
HDFC,2015-10-12,1291.7,1270.25,0.983393977
HDFC,2015-10-13,1270.25,1278.7,1.006652234
HDFC,2015-10-14,1278.7,1294.15,1.012082584
HDFC,2015-10-15,1294.15,1294.7,1.000424989
HDFC,2015-10-16,1294.7,1311.6,1.013053217
HDFC,2015-10-19,1311.6,1315.35,1.002859103
HDFC,2015-10-20,1315.35,1312.5,0.997833276
HDFC,2015-10-21,1312.5,1315.75,1.00247619
HDFC,2015-10-23,1315.75,1337.9,1.016834505
HDFC,2015-10-26,1337.9,1312.7,0.981164512
HDFC,2015-10-27,1312.7,1275.1,0.971356746
HDFC,2015-10-28,1275.1,1266.6,0.993333856
HDFC,2015-10-29,1266.6,1264.65,0.998460445
HDFC,2015-10-30,1264.65,1256.85,0.993832286
HDFC,2015-11-02,1256.85,1221.05,0.971516092
HDFC,2015-11-03,1221.05,1221.4,1.000286639
HDFC,2015-11-04,1221.4,1220.15,0.998976584
HDFC,2015-11-05,1220.15,1205.85,0.988280129
HDFC,2015-11-06,1205.85,1205.4,0.999626819
HDFC,2015-11-09,1205.4,1190.75,0.987846358
HDFC,2015-11-10,1190.75,1171.35,0.983707747
HDFC,2015-11-11,1171.35,1177.4,1.005164981
HDFC,2015-11-13,1177.4,1178.75,1.001146594
HDFC,2015-11-16,1178.75,1178.4,0.999703075
HDFC,2015-11-17,1178.4,1200.75,1.018966395
HDFC,2015-11-18,1200.75,1178.7,0.981636477
HDFC,2015-11-19,1178.7,1214.2,1.030117927
HDFC,2015-11-20,1214.2,1205.75,0.993040685
HDFC,2015-11-23,1205.75,1191.15,0.987891354
HDFC,2015-11-24,1191.15,1218.95,1.02333879
HDFC,2015-11-26,1218.95,1222.65,1.003035399
HDFC,2015-11-27,1222.65,1230.6,1.00650227
HDFC,2015-11-30,1230.6,1211.2,0.984235332
HDFC,2015-12-01,1211.2,1224.7,1.011145971
HDFC,2015-12-02,1224.7,1211.75,0.989425982
HDFC,2015-12-03,1211.75,1200.2,0.990468331
HDFC,2015-12-04,1200.2,1171.6,0.976170638
HDFC,2015-12-07,1171.6,1184.6,1.011095937
HDFC,2015-12-08,1184.6,1171.55,0.988983623
HDFC,2015-12-09,1171.55,1153.25,0.984379668
HDFC,2015-12-10,1153.25,1182.3,1.025189681
HDFC,2015-12-11,1182.3,1174.75,0.993614142
HDFC,2015-12-14,1174.75,1188.05,1.011321558
HDFC,2015-12-15,1188.05,1206.55,1.015571735
HDFC,2015-12-16,1206.55,1219.3,1.01056732
HDFC,2015-12-17,1219.3,1240.95,1.01775609
HDFC,2015-12-18,1240.95,1224.85,0.987026069
HDFC,2015-12-21,1224.85,1232.35,1.006123199
