"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","01-Jan-2018","       1710.40","       1710.00","       1711.05","       1677.50","       1688.80","       1683.75","       1687.66","    1387222","          2341160632.30","      23130","    1021574","         73.64"
"HDFC","EQ","02-Jan-2018","       1683.75","       1690.00","       1706.25","       1685.40","       1703.90","       1703.25","       1696.72","    1468475","          2491588826.65","      57242","    1062750","         72.37"
"HDFC","EQ","03-Jan-2018","       1703.25","       1705.20","       1711.80","       1695.00","       1700.80","       1700.80","       1705.57","    2133332","          3638537955.25","      64174","    1698063","         79.60"
"HDFC","EQ","04-Jan-2018","       1700.80","       1708.95","       1708.95","       1691.05","       1701.00","       1703.20","       1700.65","    1585554","          2696472281.05","      62081","    1183815","         74.66"
"HDFC","EQ","05-Jan-2018","       1703.20","       1716.00","       1731.00","       1705.85","       1729.00","       1725.20","       1714.69","    2302884","          3948727962.20","      71515","    1837185","         79.78"
"HDFC","EQ","08-Jan-2018","       1725.20","       1729.25","       1745.00","       1729.00","       1740.00","       1740.95","       1738.55","    2997037","          5210500880.25","      92109","    2348219","         78.35"
"HDFC","EQ","09-Jan-2018","       1740.95","       1743.85","       1748.35","       1725.00","       1731.00","       1735.05","       1734.42","    1470161","          2549871556.90","      62506","    1152517","         78.39"
"HDFC","EQ","10-Jan-2018","       1735.05","       1730.00","       1739.50","       1721.20","       1721.20","       1726.45","       1728.83","    1465727","          2533986235.85","      54893","    1096777","         74.83"
"HDFC","EQ","11-Jan-2018","       1726.45","       1729.90","       1745.00","       1724.40","       1742.00","       1741.35","       1734.73","    1680803","          2915737961.65","      80353","    1318434","         78.44"
"HDFC","EQ","12-Jan-2018","       1741.35","       1744.00","       1764.95","       1740.60","       1753.10","       1760.95","       1754.30","    3280043","          5754182395.50","      79821","    2602507","         79.34"
"HDFC","EQ","15-Jan-2018","       1760.95","       1790.00","       1886.80","       1778.05","       1863.00","       1871.20","       1844.67","    9486397","         17499287803.60","     194187","    4219531","         44.48"
"HDFC","EQ","16-Jan-2018","       1871.20","       1870.00","       1870.00","       1835.75","       1854.00","       1845.95","       1848.30","    5373079","          9931051462.40","     190975","    3795445","         70.64"
"HDFC","EQ","17-Jan-2018","       1845.95","       1841.00","       1869.00","       1841.00","       1854.00","       1858.35","       1855.00","    3622589","          6719884945.85","     129449","    2842549","         78.47"
"HDFC","EQ","18-Jan-2018","       1858.35","       1875.45","       1918.65","       1865.60","       1895.00","       1896.80","       1899.71","    6605642","         12548825913.50","     140122","    4498273","         68.10"
"HDFC","EQ","19-Jan-2018","       1896.80","       1897.00","       1912.80","       1894.35","       1904.00","       1901.25","       1903.15","    2833442","          5392474988.65","      68020","    1824660","         64.40"
"HDFC","EQ","22-Jan-2018","       1901.25","       1901.00","       1924.35","       1863.95","       1866.30","       1872.00","       1886.09","    3649174","          6882653863.85","     116325","    2412594","         66.11"
"HDFC","EQ","23-Jan-2018","       1872.00","       1874.00","       1896.90","       1870.20","       1886.00","       1884.65","       1884.34","    2158639","          4067613186.50","     114007","    1493303","         69.18"
"HDFC","EQ","24-Jan-2018","       1884.65","       1886.60","       1919.55","       1880.00","       1911.25","       1911.20","       1906.41","    3401495","          6484642461.45","      81310","    2226796","         65.47"
"HDFC","EQ","25-Jan-2018","       1911.20","       1917.00","       1922.50","       1883.50","       1903.35","       1908.30","       1903.04","    4622281","          8796388862.95","      95179","    3171131","         68.61"
"HDFC","EQ","29-Jan-2018","       1908.30","       1915.00","       1986.05","       1909.90","       1971.50","       1967.60","       1952.87","    6305147","         12313161309.50","     197733","    3423734","         54.30"
"HDFC","EQ","30-Jan-2018","       1967.60","       1971.50","       1971.50","       1927.90","       1938.00","       1937.50","       1944.82","    4066082","          7907790022.35","     138016","    2602799","         64.01"
"HDFC","EQ","31-Jan-2018","       1937.50","       1932.25","       1963.05","       1918.00","       1955.85","       1956.30","       1941.93","    3665385","          7117933583.30","     154763","    2434994","         66.43"
"HDFC","EQ","01-Feb-2018","       1956.30","       1963.00","       1975.30","       1931.80","       1967.00","       1967.55","       1962.16","    3838192","          7531148298.40","      89711","    2532286","         65.98"
"HDFC","EQ","02-Feb-2018","       1967.55","       1946.00","       1946.00","       1895.00","       1900.00","       1903.85","       1911.07","    3272591","          6254146879.50","     138634","    2226572","         68.04"
"HDFC","EQ","05-Feb-2018","       1903.85","       1866.10","       1886.00","       1811.80","       1824.95","       1823.35","       1834.67","    6082208","         11158833908.40","     175730","    4441369","         73.02"
"HDFC","EQ","06-Feb-2018","       1823.35","       1769.00","       1808.80","       1757.05","       1796.95","       1788.60","       1780.84","    3601190","          6413132961.60","     134925","    2137255","         59.35"
"HDFC","EQ","07-Feb-2018","       1788.60","       1795.00","       1806.65","       1767.05","       1781.75","       1785.35","       1777.76","    3549234","          6309698155.90","     125909","    2505837","         70.60"
