Date,Ratio_a (HDFCLTD),Ratio_b (HDFCBANK)
2015-01-01,0.989523726,1.000472888
2015-01-02,1.042615658,1.013917336
2015-01-05,0.986773615,0.991557029
2015-01-06,0.952914217,0.984432952
2015-01-07,0.997549798,1.002918546
2015-01-08,1.021924039,1.021005291
2015-01-09,0.991053545,1.01119345
2015-01-12,1.013698015,0.991185364
2015-01-13,0.994373311,0.996173931
2015-01-14,0.998306897,1.000570924
2015-01-15,1.073417835,1.030345472
2015-01-16,0.99334747,1.008256557
2015-01-19,0.989242811,1.003195686
2015-01-20,1.059109757,1.016325718
2015-01-21,1.028484679,0.99902052
2015-01-22,0.994134556,1.001274572
2015-01-23,1.008166295,1.021101591
2015-01-27,1.019959693,1.029967395
2015-01-28,1.021848995,0.985382431
2015-01-29,0.978395062,1.034629376
2015-01-30,0.959674661,0.983881279
2015-02-02,1.005386139,1.003944865
2015-02-03,0.969156228,0.983820266
2015-02-04,1.001869691,1.003383141
2015-02-05,1.011359487,1.008242016
2015-02-06,1.027357696,0.978634464
2015-02-09,0.993284136,0.987280494
2015-02-10,0.979716184,1.01379675
2015-02-11,0.999719135,1.003746029
2015-02-12,1.005980093,1.016628874
2015-02-13,1.012288051,0.990520446
2015-02-16,1.015252434,1.001641959
2015-02-18,1.031521739,1.006791251
2015-02-19,1.018703899,1.004652028
2015-02-20,0.985001293,0.993748842
2015-02-23,0.983572741,0.994827827
2015-02-24,0.999351764,1.000140515
2015-02-25,1.023008242,0.985763125
2015-02-26,1.003841707,0.986412656
2015-02-27,1.001263283,1.015267543
2015-02-28,0.990908416,1.016318786
2015-03-02,1.003595102,1.010595594
2015-03-03,1.020970932,1.000738996
2015-03-04,0.999744161,0.983338718
2015-03-05,1.019814287,1.018586314
2015-03-09,0.981036708,0.975946917
2015-03-10,0.959111338,0.993909348
2015-03-11,1.007886315,1.003705287
2015-03-12,1.007635608,0.998248852
2015-03-13,0.996398695,0.98866869
2015-03-16,0.983170814,1.008535942
2015-03-17,1.025848204,1.006181351
2015-03-18,0.987009593,1.005198242
2015-03-19,1.004273666,0.989328193
